"Slice","Name","Invested value","Value","Result","Owned quantity","Dividends gained","Dividends cash","Dividends reinvested"
"QBTS","D-Wave Quantum",12.95,22.2,9.25,"0.66926501","N/A","N/A","N/A"
"IONQ","IonQ",17.23,18.27,1.04,"0.33175933","N/A","N/A","N/A"
"META","Meta Platforms",21.2,20.77,-0.43,"0.03371856","N/A","N/A","N/A"
"QUBT","Quantum Computing",17.93,18,0.07,"1.12691539","N/A","N/A","N/A"
"AMD","Advanced Micro Devices",16.88,21.61,4.73,"0.11004665","N/A","N/A","N/A"
"RGTI","Rigetti Computing",9.57,18.13,8.56,"0.44464304","N/A","N/A","N/A"
"NVD","Nvidia",19.72,19.82,0.1,"0.12809695","N/A","N/A","N/A"
"PTX","Palantir Technologies",20.21,20.62,0.41,"0.13758923","N/A","N/A","N/A"
"ORC","Oracle",20.04,19.37,-0.67,"0.07831339","N/A","N/A","N/A"
"AMZN","Amazon",17.73,16.69,-1.04,"0.09108425","N/A","N/A","N/A"
"GOOGL","Alphabet (Class A)",17.09,17.98,0.89,"0.08246429","N/A","N/A","N/A"
"AVGO","Broadcom",16.67,16.88,0.21,"0.05618292","N/A","N/A","N/A"
"ASML","ASML",15.93,17.99,2.06,"0.0205386","N/A","N/A","N/A"
"FTNT","Fortinet",17.06,17.02,-0.04,"0.23803965","N/A","N/A","N/A"
"MSF","Microsoft",17.13,17.05,-0.08,"0.0390099","N/A","N/A","N/A"
"FN","Fabrinet",16.99,18.59,1.6,"0.05229903","N/A","N/A","N/A"
"IBM","International Business Machines (IBM)",16.96,17.01,0.05,"0.07185412","N/A","N/A","N/A"
"FDS","FactSet Research Systems",13.87,13.94,0.07,"0.05608644","N/A","N/A","N/A"
"Total","AI Playground",305.16,331.94,26.78,"-","0.01","0","0.01"